category,anchor,name,affiliation,profile,talk_title,abstract,message,image,link,link_label
招待講演,speaker-1,荒木 健太郎,気象庁気象研究所 台風・災害気象研究部第二研究室 主任研究官,気象庁気象研究所 台風・災害気象研究部第二研究室 主任研究官,雲研究者という生き方,みなさんは楽しい人生を送っていますか？　「研究者」は職業として語られることが多いですが，私は生き方の一つだと考えています．私自身はかなり特殊な研究者だと自認しており，体験談がみなさんの参考になるのかはまったくわかりませんが，手法や考え方に関しては多少使えるところがあるかもしれません．というわけで，これまで取り組んできた実態解明研究や観測技術開発の考え方の話をしつつ，いかに楽しく生きるかをみなさんと一緒に考えたいと思います．,当日はぜひ学生のみなさんのお話も聞かせてください．脳汁の溢れる研究談義ができることを楽しみにしています．,https://www.mri-jma.go.jp/Dep/typ/araki/data/araki.jpg,,
招待講演,speaker-2,日下 博幸,筑波大学 計算科学研究センター 教授,筑波大学 計算科学研究センター 教授,準備中,準備中,準備中,assets/images/person-placeholder.svg,,
